ID,smiles,IC50,IC50_units,pIC50
BCRP_0746,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)CCCCCCCCCCC(=O)OC[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)C[C@@H]3N=[N+]=[N-])O2)c(=O)[nH]c1=O,11.5,uM,4.93930216
BCRP_0747,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,50,uM,4.301029996
BCRP_0748,CC[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(C)C)n3)nc3c(Cl)c(OCCN4CCOCC4)ccc23)CN1C(=O)[C@@H](NC(=O)O[C@@H]1C[C@@H]2C[C@@H]2C1)C(C)(C)C)C(=O)O,1.4,uM,5.853871964
BCRP_0749,CC1CC(=O)c2c3c(n(Cc4ccccc4)c2C1)-c1ccccc1C3=O,15,uM,4.823908741
BCRP_0750,Brc1cccc(N2CCN(c3nc(-c4ccccc4)nc4ccccc34)CC2)c1,5.12,uM,5.290730039
BCRP_0751,O=[N+]([O-])c1cc(Nc2nc(-c3ccccc3)nc3ccccc23)ccc1F,2.46,uM,5.609064893
BCRP_0752,Fc1ccc(Nc2nc(-c3ccccc3)nc3ccccc23)cc1Cl,1.66,uM,5.779891912
BCRP_0753,Cc1cc(Nc2ccc3nccnc3c2)nc(-c2ccccc2)n1,0.312,uM,6.505845406
BCRP_0754,COc1ccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)cc1C(F)(F)F,16.2,uM,4.790484985
BCRP_0755,COc1cc(/C=C/C(=O)c2cccc(OCC(=O)Nc3ccc4c(c3)COC4=O)c2)cc(OC)c1OC,9.93,uM,5.003050752
BCRP_0756,COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)Nc3ccc4c(c3)COC4=O)cc2)cc1OC,6.63,uM,5.178486472
BCRP_0757,O=[N+]([O-])c1cccc(Oc2nc(-c3ccccc3)nc3ccccc23)c1,4.78,uM,5.320572103
BCRP_0758,O=[N+]([O-])c1ccc2nc(-c3ccccc3)nc(Nc3cccc(F)c3)c2c1,0.0515,uM,7.288192771
BCRP_0759,Nc1ccc2nc(-c3cccc(C(F)(F)F)c3)nc(Nc3cccc(O)c3)c2c1,0.799,uM,6.097453221
BCRP_0760,COc1ccc(-c2nc(Nc3cccc(C(F)(F)F)c3)c3cc([N+](=O)[O-])ccc3n2)cc1OC,0.0572,uM,7.242603971
BCRP_0761,O=[N+]([O-])c1ccc2nc(-c3ccccc3)nc(Nc3cccc(C(F)(F)F)c3)c2c1,0.0491,uM,7.308918508
